name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,29,8.92,3,1744,581.33
Node_1,true,false,52,21.67,5,2848,569.6
Node_3,true,false,41,14.38,4,2418,604.5
Node_19,false,true,7,1.49,2,1152,576.0
Node_2,false,false,26,8.24,3,1126,375.33
Node_4,false,false,18,4.52,3,1897,632.33
Node_6,false,false,24,6.61,3,1089,363.0
Node_17,false,true,21,9.53,2,1581,790.5
Node_8,true,false,17,5.53,4,1793,448.25
Node_7,false,false,27,9.6,3,1525,508.33
Node_20,false,false,11,0.35,2,1529,764.5
Node_5,true,false,22,8.1,3,1052,350.67
Node_18,false,false,7,1.22,2,1556,778.0
Node_9,false,false,36,15.48,3,1569,523.0
Node_11,false,false,57,31.42,5,2873,574.6
Node_10,false,false,43,16.5,4,2269,567.25
Node_12,false,false,34,11.45,3,3003,1001.0
Node_14,false,false,15,2.49,3,1310,436.67
Node_15,false,false,20,2.34,3,1464,488.0
Node_24,true,false,16,4.86,3,2807,935.67
Node_25,false,false,10,0.8,2,1262,631.0
Node_13,false,false,8,0.4,3,1734,578.0
Node_21,false,true,1,0.0,2,2709,1354.5
Node_22,false,false,30,7.56,3,2234,744.67
Node_23,false,false,24,7.2,3,1961,653.67
Node_16,true,false,5,0.58,2,1594,797.0
Node_26,false,false,14,0.73,2,1836,918.0
Node_27,false,false,4,0.15,2,1345,672.5
END_OF_DATA
Erlang: 300, Seed_Value: 621, Demands_Count: 250000

CREATED_ON:2018-11-22 14:58:48.388
