name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,31,8.36,3,1744,581.33
Node_1,true,false,98,43.53,5,2848,569.6
Node_3,true,false,46,16.18,4,2418,604.5
Node_19,false,true,9,2.81,2,1152,576.0
Node_2,false,false,33,9.13,3,1126,375.33
Node_4,false,false,30,6.34,3,1897,632.33
Node_6,false,false,29,8.88,3,1089,363.0
Node_17,false,true,31,14.32,2,1581,790.5
Node_8,true,false,17,4.87,4,1793,448.25
Node_7,false,false,47,15.17,3,1525,508.33
Node_20,false,false,18,0.63,2,1529,764.5
Node_5,true,false,31,8.92,3,1052,350.67
Node_18,false,false,11,2.12,2,1556,778.0
Node_9,false,false,43,17.78,3,1569,523.0
Node_11,false,false,80,42.46,5,2873,574.6
Node_10,false,false,43,17.97,4,2269,567.25
Node_12,false,false,43,21.71,3,3003,1001.0
Node_14,false,false,29,9.17,3,1310,436.67
Node_15,false,false,22,3.72,3,1464,488.0
Node_24,true,false,23,7.51,3,2807,935.67
Node_25,false,false,14,2.54,2,1262,631.0
Node_13,false,false,17,1.66,3,1734,578.0
Node_21,false,true,1,0.03,2,2709,1354.5
Node_22,false,false,27,11.74,3,2234,744.67
Node_23,false,false,31,12.59,3,1961,653.67
Node_16,true,false,8,1.21,2,1594,797.0
Node_26,false,false,24,3.37,2,1836,918.0
Node_27,false,false,3,0.14,2,1345,672.5
END_OF_DATA
Erlang: 400, Seed_Value: 9528, Demands_Count: 250000

CREATED_ON:2018-11-22 15:34:53.348
