name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,34,9.1,3,1744,581.33
Node_1,true,false,61,22.29,5,2848,569.6
Node_3,true,false,40,14.54,4,2418,604.5
Node_19,false,true,8,1.5,2,1152,576.0
Node_2,false,false,29,8.39,3,1126,375.33
Node_4,false,false,20,4.5,3,1897,632.33
Node_6,false,false,22,6.71,3,1089,363.0
Node_17,false,true,22,9.64,2,1581,790.5
Node_8,true,false,19,5.37,4,1793,448.25
Node_7,false,false,24,9.54,3,1525,508.33
Node_20,false,false,11,0.35,2,1529,764.5
Node_5,true,false,31,8.3,3,1052,350.67
Node_18,false,false,11,1.34,2,1556,778.0
Node_9,false,false,43,15.39,3,1569,523.0
Node_11,false,false,60,31.39,5,2873,574.6
Node_10,false,false,45,15.72,4,2269,567.25
Node_12,false,false,33,11.59,3,3003,1001.0
Node_14,false,false,17,2.48,3,1310,436.67
Node_15,false,false,15,2.32,3,1464,488.0
Node_24,true,false,17,4.99,3,2807,935.67
Node_25,false,false,8,0.72,2,1262,631.0
Node_13,false,false,8,0.44,3,1734,578.0
Node_21,false,true,0,0.0,2,2709,1354.5
Node_22,false,false,25,7.5,3,2234,744.67
Node_23,false,false,26,6.99,3,1961,653.67
Node_16,true,false,7,0.65,2,1594,797.0
Node_26,false,false,15,0.74,2,1836,918.0
Node_27,false,false,3,0.15,2,1345,672.5
END_OF_DATA
Erlang: 300, Seed_Value: 9528, Demands_Count: 250000

CREATED_ON:2018-11-22 15:32:47.116
