70,67,57,22,7
67,27,16,8,6
85,76,58,23,8
80,67,59,21,19
64,58,33,25,19
85,61,33,21,12
78,71,52,34,6
82,69,53,11,2
81,69,59,39,9
79,61,57,36,5
99,51,41,24,6
93,58,57,32,16
98,78,52,20,13
70,55,54,29,7
62,58,20,14,11
83,74,46,21,4
64,61,28,11,8
95,71,57,38,1
97,71,54,38,4
97,61,37,22,12
80,56,46,6,2
86,34,33,8,2
70,69,38,19,12
64,63,58,33,9
61,60,41,15,13
77,66,59,10,9
85,77,45,33,20
61,44,25,23,20
82,80,58,32,1
97,77,33,32,6
90,58,50,24,13
85,80,51,34,16
91,66,54,24,4
93,77,40,25,16
93,65,23,21,7
90,65,60,38,5
84,80,60,34,6
73,71,38,31,11
77,61,46,36,6
83,76,59,37,10
61,51,42,35,3
57,49,32,26,9
82,80,38,20,9
69,67,46,20,19
95,46,40,33,5
96,71,38,30,20
43,40,19,9,7
62,61,54,21,16
68,58,32,24,20
56,54,48,24,9
68,65,54,19,14
63,52,35,22,20
89,60,40,19,17
61,60,59,39,5
66,61,46,18,16
84,79,60,33,2
80,78,44,34,4
77,68,47,36,20
68,64,41,4,3
87,78,57,34,6
76,75,50,20,17
77,72,52,13,12
37,32,25,21,17
69,67,41,23,14
74,72,37,27,10
99,79,45,7,2
97,65,54,19,4
41,40,39,13,12
70,54,51,37,16
58,40,27,18,12
79,49,34,12,6
73,38,32,20,8
68,54,38,15,2
73,69,59,27,20
89,59,51,36,3
90,39,28,27,14
76,29,21,8,6
77,72,58,19,18
68,63,28,16,10
83,62,60,27,20
98,60,39,34,18
73,67,30,6,3
73,58,44,20,10
84,73,50,12,4
84,49,44,39,20
63,40,23,18,16
80,55,32,30,2
79,70,37,15,4
87,64,56,26,9
90,80,41,27,5
90,65,29,10,7
90,69,59,38,16
97,48,38,37,20
77,74,54,39,13
68,65,60,19,10
73,57,55,32,16
88,64,42,27,11
88,76,25,7,3
75,74,37,25,5
96,78,43,38,4
99,63,59,25,3
78,58,55,39,9
86,73,43,22,1
73,71,46,34,17
89,58,53,30,15
95,78,34,26,5
65,59,30,24,3
74,71,60,33,11
65,59,54,12,2
93,74,38,26,12
80,66,44,27,18
83,44,31,24,16
80,69,47,38,18
86,62,32,22,16
79,66,43,11,10
93,73,55,27,8
62,56,46,37,12
62,38,4,3,1
82,73,43,34,8
64,61,42,23,14
64,35,10,6,1
66,62,50,19,14
75,68,52,32,13
97,71,40,15,11
70,56,42,34,13
96,66,34,32,12
97,52,38,35,2
85,71,24,15,3
50,32,23,19,14
92,51,45,38,16
85,75,28,20,3
83,77,49,2,1
80,79,37,26,6
83,79,43,32,19
85,76,42,34,11
65,59,54,31,19
71,57,31,29,16
76,66,51,34,13
72,54,48,24,9
77,61,55,28,14
97,72,28,15,6
90,78,55,35,17
90,62,41,26,18
97,65,47,19,3
83,35,24,12,11
