name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,59,18.71,3,1744,581.33
Node_1,true,false,100,75.1,5,2848,569.6
Node_3,true,false,69,32.12,4,2418,604.5
Node_19,false,true,11,3.03,2,1152,576.0
Node_2,false,false,49,15.77,3,1126,375.33
Node_4,false,false,30,10.32,3,1897,632.33
Node_6,false,false,45,14.51,3,1089,363.0
Node_17,false,true,43,20.8,2,1581,790.5
Node_8,true,false,37,8.19,4,1793,448.25
Node_7,false,false,69,24.51,3,1525,508.33
Node_20,false,false,12,0.3,2,1529,764.5
Node_5,true,false,38,12.56,3,1052,350.67
Node_18,false,false,13,3.66,2,1556,778.0
Node_9,false,false,65,24.73,3,1569,523.0
Node_11,false,false,91,57.32,5,2873,574.6
Node_10,false,false,53,18.2,4,2269,567.25
Node_12,false,false,47,27.04,3,3003,1001.0
Node_14,false,false,34,16.29,3,1310,436.67
Node_15,false,false,25,5.38,3,1464,488.0
Node_24,true,false,31,11.49,3,2807,935.67
Node_25,false,false,23,5.73,2,1262,631.0
Node_13,false,false,19,4.11,3,1734,578.0
Node_21,false,true,2,0.11,2,2709,1354.5
Node_22,false,false,35,15.5,3,2234,744.67
Node_23,false,false,41,18.13,3,1961,653.67
Node_16,true,false,7,1.48,2,1594,797.0
Node_26,false,false,25,7.52,2,1836,918.0
Node_27,false,false,3,0.14,2,1345,672.5
END_OF_DATA
Erlang: 500, Seed_Value: 621, Demands_Count: 250000

CREATED_ON:2018-11-22 15:03:04.667
