name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,95,38.04,3,1744,581.33
Node_1,true,false,100,92.78,5,2848,569.6
Node_3,true,false,99,58.88,4,2418,604.5
Node_19,false,true,13,3.53,2,1152,576.0
Node_2,false,false,96,45.72,3,1126,375.33
Node_4,false,false,33,12.02,3,1897,632.33
Node_6,false,false,87,38.04,3,1089,363.0
Node_17,false,true,62,34.93,2,1581,790.5
Node_8,true,false,48,15.46,4,1793,448.25
Node_7,false,false,84,33.08,3,1525,508.33
Node_20,false,false,10,0.09,2,1529,764.5
Node_5,true,false,63,25.49,3,1052,350.67
Node_18,false,false,16,4.86,2,1556,778.0
Node_9,false,false,100,55.83,3,1569,523.0
Node_11,false,false,100,91.2,5,2873,574.6
Node_10,false,false,90,34.21,4,2269,567.25
Node_12,false,false,96,45.27,3,3003,1001.0
Node_14,false,false,37,15.1,3,1310,436.67
Node_15,false,false,27,9.26,3,1464,488.0
Node_24,true,false,49,26.25,3,2807,935.67
Node_25,false,false,30,10.9,2,1262,631.0
Node_13,false,false,22,3.72,3,1734,578.0
Node_21,false,true,3,0.14,2,2709,1354.5
Node_22,false,false,67,24.78,3,2234,744.67
Node_23,false,false,73,31.26,3,1961,653.67
Node_16,true,false,8,1.36,2,1594,797.0
Node_26,false,false,31,15.01,2,1836,918.0
Node_27,false,false,4,0.2,2,1345,672.5
END_OF_DATA
Erlang: 700, Seed_Value: 621, Demands_Count: 250000

CREATED_ON:2018-11-22 15:07:17.848
