name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,34,9.32,3,1744,581.33
Node_1,true,false,60,22.66,5,2848,569.6
Node_3,true,false,39,14.6,4,2418,604.5
Node_19,false,true,10,1.49,2,1152,576.0
Node_2,false,false,28,8.3,3,1126,375.33
Node_4,false,false,18,4.4,3,1897,632.33
Node_6,false,false,21,6.73,3,1089,363.0
Node_17,false,true,25,9.61,2,1581,790.5
Node_8,true,false,25,5.38,4,1793,448.25
Node_7,false,false,31,9.77,3,1525,508.33
Node_20,false,false,11,0.33,2,1529,764.5
Node_5,true,false,21,8.18,3,1052,350.67
Node_18,false,false,9,1.26,2,1556,778.0
Node_9,false,false,38,15.11,3,1569,523.0
Node_11,false,false,57,31.03,5,2873,574.6
Node_10,false,false,43,16.23,4,2269,567.25
Node_12,false,false,34,11.33,3,3003,1001.0
Node_14,false,false,16,2.51,3,1310,436.67
Node_15,false,false,18,2.33,3,1464,488.0
Node_24,true,false,18,4.91,3,2807,935.67
Node_25,false,false,8,0.73,2,1262,631.0
Node_13,false,false,10,0.42,3,1734,578.0
Node_21,false,true,1,0.0,2,2709,1354.5
Node_22,false,false,22,7.37,3,2234,744.67
Node_23,false,false,26,7.18,3,1961,653.67
Node_16,true,false,6,0.68,2,1594,797.0
Node_26,false,false,13,0.67,2,1836,918.0
Node_27,false,false,3,0.17,2,1345,672.5
END_OF_DATA
Erlang: 300, Seed_Value: 42, Demands_Count: 250000

CREATED_ON:2018-11-22 09:17:09.074
