name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,85,40.35,3,1744,581.33
Node_1,true,false,100,93.55,5,2848,569.6
Node_3,true,false,100,60.38,4,2418,604.5
Node_19,false,true,12,3.39,2,1152,576.0
Node_2,false,false,91,48.72,3,1126,375.33
Node_4,false,false,35,12.36,3,1897,632.33
Node_6,false,false,88,37.45,3,1089,363.0
Node_17,false,true,60,35.55,2,1581,790.5
Node_8,true,false,46,13.33,4,1793,448.25
Node_7,false,false,80,33.74,3,1525,508.33
Node_20,false,false,3,0.08,2,1529,764.5
Node_5,true,false,54,25.65,3,1052,350.67
Node_18,false,false,15,4.82,2,1556,778.0
Node_9,false,false,100,57.43,3,1569,523.0
Node_11,false,false,100,90.76,5,2873,574.6
Node_10,false,false,78,30.73,4,2269,567.25
Node_12,false,false,92,43.86,3,3003,1001.0
Node_14,false,false,35,15.27,3,1310,436.67
Node_15,false,false,31,9.32,3,1464,488.0
Node_24,true,false,48,25.7,3,2807,935.67
Node_25,false,false,29,11.19,2,1262,631.0
Node_13,false,false,19,3.93,3,1734,578.0
Node_21,false,true,2,0.14,2,2709,1354.5
Node_22,false,false,61,25.13,3,2234,744.67
Node_23,false,false,75,30.19,3,1961,653.67
Node_16,true,false,8,1.48,2,1594,797.0
Node_26,false,false,32,14.76,2,1836,918.0
Node_27,false,false,3,0.16,2,1345,672.5
END_OF_DATA
Erlang: 700, Seed_Value: 42, Demands_Count: 250000

CREATED_ON:2018-11-22 09:25:47.549
