name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,73,30.89,3,1744,581.33
Node_1,true,false,100,85.58,5,2848,569.6
Node_3,true,false,89,52.11,4,2418,604.5
Node_19,false,true,10,2.49,2,1152,576.0
Node_2,false,false,80,30.53,3,1126,375.33
Node_4,false,false,45,14.34,3,1897,632.33
Node_6,false,false,65,22.81,3,1089,363.0
Node_17,false,true,58,28.47,2,1581,790.5
Node_8,true,false,42,14.03,4,1793,448.25
Node_7,false,false,73,26.68,3,1525,508.33
Node_20,false,false,10,0.43,2,1529,764.5
Node_5,true,false,57,19.06,3,1052,350.67
Node_18,false,false,16,4.83,2,1556,778.0
Node_9,false,false,83,40.19,3,1569,523.0
Node_11,false,false,100,79.39,5,2873,574.6
Node_10,false,false,65,25.48,4,2269,567.25
Node_12,false,false,67,30.35,3,3003,1001.0
Node_14,false,false,38,17.27,3,1310,436.67
Node_15,false,false,23,7.01,3,1464,488.0
Node_24,true,false,45,21.62,3,2807,935.67
Node_25,false,false,24,8.36,2,1262,631.0
Node_13,false,false,23,4.2,3,1734,578.0
Node_21,false,true,3,0.16,2,2709,1354.5
Node_22,false,false,44,20.3,3,2234,744.67
Node_23,false,false,61,23.38,3,1961,653.67
Node_16,true,false,8,1.5,2,1594,797.0
Node_26,false,false,31,11.6,2,1836,918.0
Node_27,false,false,3,0.15,2,1345,672.5
END_OF_DATA
Erlang: 600, Seed_Value: 5659, Demands_Count: 250000

CREATED_ON:2018-11-22 15:24:41.314
