name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,92,39.47,3,1744,581.33
Node_1,true,false,100,93.04,5,2848,569.6
Node_3,true,false,100,59.11,4,2418,604.5
Node_19,false,true,10,3.28,2,1152,576.0
Node_2,false,false,95,48.44,3,1126,375.33
Node_4,false,false,33,12.63,3,1897,632.33
Node_6,false,false,82,38.45,3,1089,363.0
Node_17,false,true,69,35.23,2,1581,790.5
Node_8,true,false,39,14.58,4,1793,448.25
Node_7,false,false,71,32.9,3,1525,508.33
Node_20,false,false,6,0.04,2,1529,764.5
Node_5,true,false,54,25.44,3,1052,350.67
Node_18,false,false,17,4.84,2,1556,778.0
Node_9,false,false,100,56.58,3,1569,523.0
Node_11,false,false,100,90.94,5,2873,574.6
Node_10,false,false,87,31.41,4,2269,567.25
Node_12,false,false,95,44.73,3,3003,1001.0
Node_14,false,false,33,15.44,3,1310,436.67
Node_15,false,false,27,9.48,3,1464,488.0
Node_24,true,false,53,27.78,3,2807,935.67
Node_25,false,false,27,11.55,2,1262,631.0
Node_13,false,false,15,3.71,3,1734,578.0
Node_21,false,true,3,0.18,2,2709,1354.5
Node_22,false,false,63,24.58,3,2234,744.67
Node_23,false,false,74,31.19,3,1961,653.67
Node_16,true,false,8,1.32,2,1594,797.0
Node_26,false,false,30,14.7,2,1836,918.0
Node_27,false,false,5,0.19,2,1345,672.5
END_OF_DATA
Erlang: 700, Seed_Value: 1798, Demands_Count: 250000

CREATED_ON:2018-11-22 15:17:32.832
