name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,36,8.09,3,1744,581.33
Node_1,true,false,92,43.6,5,2848,569.6
Node_3,true,false,47,16.15,4,2418,604.5
Node_19,false,true,12,2.83,2,1152,576.0
Node_2,false,false,28,8.91,3,1126,375.33
Node_4,false,false,32,5.95,3,1897,632.33
Node_6,false,false,28,8.8,3,1089,363.0
Node_17,false,true,37,14.36,2,1581,790.5
Node_8,true,false,18,4.69,4,1793,448.25
Node_7,false,false,48,15.14,3,1525,508.33
Node_20,false,false,16,0.7,2,1529,764.5
Node_5,true,false,27,9.21,3,1052,350.67
Node_18,false,false,13,2.0,2,1556,778.0
Node_9,false,false,43,17.97,3,1569,523.0
Node_11,false,false,72,42.68,5,2873,574.6
Node_10,false,false,41,17.76,4,2269,567.25
Node_12,false,false,41,21.3,3,3003,1001.0
Node_14,false,false,28,9.27,3,1310,436.67
Node_15,false,false,20,3.81,3,1464,488.0
Node_24,true,false,25,7.63,3,2807,935.67
Node_25,false,false,14,2.69,2,1262,631.0
Node_13,false,false,13,1.79,3,1734,578.0
Node_21,false,true,2,0.02,2,2709,1354.5
Node_22,false,false,28,12.1,3,2234,744.67
Node_23,false,false,32,12.23,3,1961,653.67
Node_16,true,false,7,1.1,2,1594,797.0
Node_26,false,false,25,3.15,2,1836,918.0
Node_27,false,false,3,0.16,2,1345,672.5
END_OF_DATA
Erlang: 400, Seed_Value: 5659, Demands_Count: 250000

CREATED_ON:2018-11-22 15:20:46.07
