name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,80,31.9,3,1744,581.33
Node_1,true,false,100,84.91,5,2848,569.6
Node_3,true,false,94,52.02,4,2418,604.5
Node_19,false,true,9,2.43,2,1152,576.0
Node_2,false,false,69,31.09,3,1126,375.33
Node_4,false,false,44,14.07,3,1897,632.33
Node_6,false,false,71,23.24,3,1089,363.0
Node_17,false,true,59,28.54,2,1581,790.5
Node_8,true,false,46,15.03,4,1793,448.25
Node_7,false,false,82,27.01,3,1525,508.33
Node_20,false,false,12,0.35,2,1529,764.5
Node_5,true,false,45,18.79,3,1052,350.67
Node_18,false,false,18,4.73,2,1556,778.0
Node_9,false,false,89,39.82,3,1569,523.0
Node_11,false,false,100,78.21,5,2873,574.6
Node_10,false,false,73,25.28,4,2269,567.25
Node_12,false,false,58,30.53,3,3003,1001.0
Node_14,false,false,37,16.93,3,1310,436.67
Node_15,false,false,23,6.77,3,1464,488.0
Node_24,true,false,46,21.61,3,2807,935.67
Node_25,false,false,24,8.63,2,1262,631.0
Node_13,false,false,19,4.09,3,1734,578.0
Node_21,false,true,3,0.2,2,2709,1354.5
Node_22,false,false,56,20.36,3,2234,744.67
Node_23,false,false,53,23.77,3,1961,653.67
Node_16,true,false,9,1.5,2,1594,797.0
Node_26,false,false,28,11.55,2,1836,918.0
Node_27,false,false,3,0.17,2,1345,672.5
END_OF_DATA
Erlang: 600, Seed_Value: 1798, Demands_Count: 250000

CREATED_ON:2018-11-22 15:15:30.561
