name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,70,18.92,3,1744,581.33
Node_1,true,false,100,75.07,5,2848,569.6
Node_3,true,false,65,31.87,4,2418,604.5
Node_19,false,true,12,3.07,2,1152,576.0
Node_2,false,false,57,15.5,3,1126,375.33
Node_4,false,false,32,10.6,3,1897,632.33
Node_6,false,false,48,14.26,3,1089,363.0
Node_17,false,true,50,20.8,2,1581,790.5
Node_8,true,false,40,7.97,4,1793,448.25
Node_7,false,false,56,24.94,3,1525,508.33
Node_20,false,false,9,0.32,2,1529,764.5
Node_5,true,false,37,12.57,3,1052,350.67
Node_18,false,false,15,3.66,2,1556,778.0
Node_9,false,false,64,24.46,3,1569,523.0
Node_11,false,false,95,57.03,5,2873,574.6
Node_10,false,false,54,18.3,4,2269,567.25
Node_12,false,false,47,26.53,3,3003,1001.0
Node_14,false,false,37,16.38,3,1310,436.67
Node_15,false,false,23,5.26,3,1464,488.0
Node_24,true,false,35,12.12,3,2807,935.67
Node_25,false,false,21,5.75,2,1262,631.0
Node_13,false,false,21,4.21,3,1734,578.0
Node_21,false,true,2,0.11,2,2709,1354.5
Node_22,false,false,33,15.93,3,2234,744.67
Node_23,false,false,40,18.05,3,1961,653.67
Node_16,true,false,7,1.5,2,1594,797.0
Node_26,false,false,26,7.24,2,1836,918.0
Node_27,false,false,3,0.15,2,1345,672.5
END_OF_DATA
Erlang: 500, Seed_Value: 5659, Demands_Count: 250000

CREATED_ON:2018-11-22 15:22:26.376
