name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,32,8.95,3,1744,581.33
Node_1,true,false,63,22.3,5,2848,569.6
Node_3,true,false,39,14.32,4,2418,604.5
Node_19,false,true,9,1.49,2,1152,576.0
Node_2,false,false,25,8.37,3,1126,375.33
Node_4,false,false,17,4.29,3,1897,632.33
Node_6,false,false,21,6.77,3,1089,363.0
Node_17,false,true,24,9.44,2,1581,790.5
Node_8,true,false,20,5.31,4,1793,448.25
Node_7,false,false,30,9.86,3,1525,508.33
Node_20,false,false,8,0.3,2,1529,764.5
Node_5,true,false,25,8.43,3,1052,350.67
Node_18,false,false,8,1.26,2,1556,778.0
Node_9,false,false,38,15.25,3,1569,523.0
Node_11,false,false,55,31.44,5,2873,574.6
Node_10,false,false,43,16.0,4,2269,567.25
Node_12,false,false,32,11.44,3,3003,1001.0
Node_14,false,false,22,2.54,3,1310,436.67
Node_15,false,false,15,2.3,3,1464,488.0
Node_24,true,false,18,5.07,3,2807,935.67
Node_25,false,false,9,0.8,2,1262,631.0
Node_13,false,false,9,0.4,3,1734,578.0
Node_21,false,true,0,0.0,2,2709,1354.5
Node_22,false,false,25,7.58,3,2234,744.67
Node_23,false,false,25,7.17,3,1961,653.67
Node_16,true,false,7,0.65,2,1594,797.0
Node_26,false,false,14,0.62,2,1836,918.0
Node_27,false,false,4,0.19,2,1345,672.5
END_OF_DATA
Erlang: 300, Seed_Value: 5659, Demands_Count: 250000

CREATED_ON:2018-11-22 15:19:07.382
